"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"04.11.2022","1.676,60","1.631,70","1.686,40","1.631,10","","2,80%"
"03.11.2022","1.630,90","1.639,10","1.643,20","1.618,30","254,70K","-1,16%"
"02.11.2022","1.650,00","1.651,40","1.673,10","1.637,40","220,93K","0,02%"
"01.11.2022","1.649,70","1.636,10","1.660,30","1.633,60","197,98K","0,55%"
"31.10.2022","1.640,70","1.647,20","1.648,50","1.634,50","128,41K","-0,25%"
"28.10.2022","1.644,80","1.667,20","1.670,90","1.640,70","196,36K","-0,93%"
"27.10.2022","1.660,30","1.664,10","1.669,20","1.654,40","2,30K","-0,25%"
"26.10.2022","1.664,40","1.652,30","1.674,00","1.652,30","0,32K","0,67%"
"25.10.2022","1.653,30","1.649,60","1.660,50","1.637,00","0,59K","0,25%"
"24.10.2022","1.649,20","1.662,00","1.666,30","1.643,60","0,15K","-0,14%"
"21.10.2022","1.651,50","1.626,10","1.657,20","1.618,10","0,64K","1,21%"
"20.10.2022","1.631,80","1.628,90","1.644,30","1.621,20","0,50K","0,17%"
"19.10.2022","1.629,00","1.652,40","1.654,00","1.628,00","0,30K","-1,31%"
"18.10.2022","1.650,70","1.651,00","1.660,40","1.647,00","0,72K","-0,49%"
"17.10.2022","1.658,90","1.646,30","1.667,60","1.645,20","0,60K","0,92%"
"14.10.2022","1.643,70","1.665,60","1.672,10","1.640,80","0,64K","-1,99%"
"13.10.2022","1.677,00","1.680,20","1.688,90","1.648,30","237,01K","-0,03%"
"12.10.2022","1.677,50","1.673,40","1.685,10","1.668,00","131,77K","-0,50%"
"11.10.2022","1.686,00","1.675,60","1.691,30","1.667,50","171,81K","0,64%"
"10.10.2022","1.675,20","1.703,40","1.707,40","1.672,50","157,15K","-1,99%"
"07.10.2022","1.709,30","1.721,00","1.722,80","1.698,40","157,45K","-0,67%"
"06.10.2022","1.720,80","1.725,50","1.734,20","1.714,80","139,44K","0,00%"
"05.10.2022","1.720,80","1.734,40","1.736,60","1.708,80","173,22K","-0,56%"
"04.10.2022","1.730,50","1.708,40","1.738,70","1.704,00","205,08K","1,67%"
"03.10.2022","1.702,00","1.670,50","1.710,40","1.666,50","215,49K","1,79%"
"30.09.2022","1.672,00","1.669,50","1.684,40","1.667,50","179,99K","0,20%"
"29.09.2022","1.668,60","1.669,00","1.673,10","1.649,30","201,96K","0,21%"
